PaymentID,StudentID,SemesterID,TotalPayable,AmountPaid,OutstandingAmount,PaymentStatus,PaymentDate,PaymentMethod,Payment Risk Level
P000797,STU0134,S07,68000,68000,0,Paid,2025-02-05,Mobile Banking,No Risk
P000798,STU0135,S05,75000,37500,37500,Partial,2024-06-03,Cash,High Risk
P000799,STU0135,S02,52000,26000,26000,Partial,2023-06-25,Bank,High Risk
P000800,STU0135,S03,75000,0,75000,Unpaid,,Bank,High Risk
P000801,STU0135,S07,45000,45000,0,Paid,2025-02-13,Bank,No Risk
P000802,STU0135,S06,60000,30000,30000,Partial,2024-10-14,Cash,High Risk
P000803,STU0135,S01,75000,0,75000,Unpaid,,Cash,High Risk
P000804,STU0136,S02,75000,0,75000,Unpaid,,Cash,High Risk
P000805,STU0136,S08,45000,22500,22500,Partial,2025-05-23,Cash,High Risk
P000806,STU0136,S07,68000,68000,0,Paid,2025-02-12,Bank,No Risk
P000807,STU0136,S10,52000,52000,0,Paid,2026-01-13,Cash,No Risk
P000808,STU0136,S05,75000,56250,18750,Partial,2024-05-07,Bank,Moderate Risk
P000809,STU0136,S03,52000,52000,0,Paid,2023-09-03,Bank,No Risk
P000810,STU0136,S11,45000,33750,11250,Partial,2026-06-02,Mobile Banking,Moderate Risk
P000811,STU0137,S03,75000,75000,0,Paid,2023-10-12,Mobile Banking,No Risk
P000812,STU0137,S10,68000,68000,0,Paid,2026-01-13,Bank,No Risk
P000813,STU0137,S11,68000,68000,0,Paid,2026-05-17,Card,No Risk
P000814,STU0137,S04,75000,37500,37500,Partial,2024-01-21,Mobile Banking,High Risk
P000815,STU0137,S02,75000,75000,0,Paid,2023-06-28,Cash,No Risk
P000816,STU0137,S07,60000,30000,30000,Partial,2025-01-12,Mobile Banking,High Risk
P000817,STU0137,S06,68000,34000,34000,Partial,2024-09-16,Mobile Banking,High Risk
P000818,STU0137,S05,75000,75000,0,Paid,2024-06-05,Cash,No Risk
P000819,STU0138,S11,68000,51000,17000,Partial,2026-05-31,Card,Moderate Risk
P000820,STU0138,S04,60000,60000,0,Paid,2024-01-11,Bank,No Risk
P000821,STU0138,S08,45000,33750,11250,Partial,2025-05-12,Mobile Banking,Moderate Risk
P000822,STU0138,S02,45000,22500,22500,Partial,2023-06-29,Card,High Risk
P000823,STU0139,S07,45000,45000,0,Paid,2025-01-23,Mobile Banking,No Risk
P000824,STU0139,S10,68000,0,68000,Unpaid,,Cash,High Risk
P000825,STU0139,S11,45000,33750,11250,Partial,2026-06-17,Bank,Moderate Risk
P000826,STU0139,S09,60000,30000,30000,Partial,2025-09-04,Cash,High Risk
P000827,STU0139,S05,45000,45000,0,Paid,2024-05-20,Mobile Banking,No Risk
P000828,STU0139,S06,52000,52000,0,Paid,2024-10-29,Bank,No Risk
P000829,STU0140,S01,68000,0,68000,Unpaid,,Cash,High Risk
P000830,STU0140,S08,60000,45000,15000,Partial,2025-05-06,Cash,Moderate Risk
P000831,STU0140,S11,75000,37500,37500,Partial,2026-05-03,Bank,High Risk
P000832,STU0140,S03,52000,26000,26000,Partial,2023-10-10,Bank,High Risk
P000833,STU0140,S02,68000,68000,0,Paid,2023-06-26,Bank,No Risk
P000834,STU0140,S09,52000,26000,26000,Partial,2025-10-01,Cash,High Risk
P000835,STU0140,S06,60000,60000,0,Paid,2024-09-10,Bank,No Risk
P000836,STU0141,S08,45000,0,45000,Unpaid,,Mobile Banking,High Risk
P000837,STU0141,S07,75000,75000,0,Paid,2025-02-02,Mobile Banking,No Risk
P000838,STU0141,S02,60000,0,60000,Unpaid,,Bank,High Risk
P000839,STU0141,S03,45000,0,45000,Unpaid,,Card,High Risk
P000840,STU0141,S04,45000,45000,0,Paid,2024-01-29,Bank,No Risk
P000841,STU0141,S06,52000,52000,0,Paid,2024-09-24,Cash,No Risk
P000842,STU0141,S09,52000,0,52000,Unpaid,,Cash,High Risk
P000843,STU0141,S01,60000,60000,0,Paid,2023-02-16,Bank,No Risk
P000844,STU0142,S03,60000,30000,30000,Partial,2023-09-10,Cash,High Risk
P000845,STU0142,S01,60000,60000,0,Paid,2023-02-10,Mobile Banking,No Risk
P000846,STU0142,S05,75000,37500,37500,Partial,2024-06-02,Card,High Risk
P000847,STU0142,S06,60000,30000,30000,Partial,2024-10-09,Cash,High Risk
P000848,STU0142,S02,60000,30000,30000,Partial,2023-05-26,Bank,High Risk
P000849,STU0143,S07,75000,75000,0,Paid,2025-02-21,Cash,No Risk
P000850,STU0143,S04,68000,34000,34000,Partial,2024-02-19,Cash,High Risk
P000851,STU0143,S09,45000,45000,0,Paid,2025-10-06,Cash,No Risk
P000852,STU0143,S02,52000,0,52000,Unpaid,,Cash,High Risk
P000853,STU0143,S10,68000,51000,17000,Partial,2026-01-22,Mobile Banking,Moderate Risk
P000854,STU0144,S08,52000,52000,0,Paid,2025-05-25,Card,No Risk
P000855,STU0144,S02,45000,33750,11250,Partial,2023-05-14,Cash,Moderate Risk
P000856,STU0144,S09,52000,26000,26000,Partial,2025-09-03,Bank,High Risk
P000857,STU0144,S04,45000,33750,11250,Partial,2024-01-06,Cash,Moderate Risk
P000858,STU0144,S03,52000,26000,26000,Partial,2023-09-05,Card,High Risk
P000859,STU0144,S10,60000,30000,30000,Partial,2026-02-16,Cash,High Risk
P000860,STU0144,S05,75000,37500,37500,Partial,2024-06-14,Card,High Risk
P000861,STU0145,S06,75000,0,75000,Unpaid,,Mobile Banking,High Risk
P000862,STU0145,S04,68000,34000,34000,Partial,2024-02-13,Card,High Risk
P000863,STU0145,S03,75000,56250,18750,Partial,2023-10-25,Cash,Moderate Risk
P000864,STU0145,S07,68000,68000,0,Paid,2025-02-05,Cash,No Risk
P000865,STU0146,S08,45000,33750,11250,Partial,2025-05-30,Card,Moderate Risk
P000866,STU0146,S04,68000,68000,0,Paid,2024-01-23,Card,No Risk
P000867,STU0146,S01,52000,52000,0,Paid,2023-01-26,Mobile Banking,No Risk
P000868,STU0146,S02,45000,45000,0,Paid,2023-05-22,Mobile Banking,No Risk
P000869,STU0147,S07,45000,22500,22500,Partial,2025-01-17,Card,High Risk
P000870,STU0147,S05,75000,0,75000,Unpaid,,Mobile Banking,High Risk
P000871,STU0147,S01,45000,0,45000,Unpaid,,Cash,High Risk
P000872,STU0147,S08,75000,37500,37500,Partial,2025-05-28,Bank,High Risk
P000873,STU0148,S06,68000,51000,17000,Partial,2024-10-22,Card,Moderate Risk
P000874,STU0148,S03,60000,0,60000,Unpaid,,Mobile Banking,High Risk
P000875,STU0148,S10,68000,0,68000,Unpaid,,Mobile Banking,High Risk
P000876,STU0148,S09,45000,45000,0,Paid,2025-09-06,Bank,No Risk
P000877,STU0149,S11,75000,75000,0,Paid,2026-06-18,Bank,No Risk
P000878,STU0149,S07,45000,22500,22500,Partial,2025-01-03,Cash,High Risk
P000879,STU0149,S01,75000,0,75000,Unpaid,,Mobile Banking,High Risk
P000880,STU0149,S03,45000,0,45000,Unpaid,,Bank,High Risk
P000881,STU0149,S04,60000,45000,15000,Partial,2024-01-31,Card,Moderate Risk
P000882,STU0149,S02,45000,0,45000,Unpaid,,Cash,High Risk
P000883,STU0149,S06,75000,37500,37500,Partial,2024-09-11,Card,High Risk
P000884,STU0149,S05,75000,75000,0,Paid,2024-05-06,Card,No Risk
P000885,STU0150,S07,45000,0,45000,Unpaid,,Bank,High Risk
P000886,STU0150,S08,45000,22500,22500,Partial,2025-06-07,Bank,High Risk
P000887,STU0150,S06,60000,60000,0,Paid,2024-09-10,Card,No Risk
P000888,STU0150,S11,60000,60000,0,Paid,2026-06-15,Bank,No Risk
P000889,STU0150,S01,68000,34000,34000,Partial,2023-02-22,Bank,High Risk
P000890,STU0150,S04,52000,26000,26000,Partial,2024-01-21,Mobile Banking,High Risk
P000891,STU0151,S03,45000,33750,11250,Partial,2023-09-12,Card,Moderate Risk
P000892,STU0151,S09,75000,75000,0,Paid,2025-10-05,Mobile Banking,No Risk
P000893,STU0151,S07,45000,0,45000,Unpaid,,Card,High Risk
P000894,STU0151,S01,52000,0,52000,Unpaid,,Card,High Risk
P000895,STU0151,S10,75000,75000,0,Paid,2026-02-19,Mobile Banking,No Risk
P000896,STU0151,S06,75000,75000,0,Paid,2024-10-10,Bank,No Risk
P000897,STU0152,S10,60000,30000,30000,Partial,2026-01-14,Card,High Risk
P000898,STU0152,S08,52000,0,52000,Unpaid,,Bank,High Risk
P000899,STU0152,S04,75000,37500,37500,Partial,2024-01-19,Card,High Risk
P000900,STU0152,S06,52000,39000,13000,Partial,2024-10-14,Mobile Banking,Moderate Risk
P000901,STU0152,S11,60000,60000,0,Paid,2026-06-19,Bank,No Risk
P000902,STU0152,S01,68000,68000,0,Paid,2023-01-05,Bank,No Risk
P000903,STU0152,S07,68000,68000,0,Paid,2025-01-15,Mobile Banking,No Risk
P000904,STU0153,S06,45000,22500,22500,Partial,2024-10-20,Card,High Risk
P000905,STU0153,S10,68000,0,68000,Unpaid,,Card,High Risk
P000906,STU0153,S02,45000,22500,22500,Partial,2023-05-21,Mobile Banking,High Risk
P000907,STU0153,S11,52000,52000,0,Paid,2026-05-14,Cash,No Risk
P000908,STU0153,S03,45000,45000,0,Paid,2023-10-16,Card,No Risk
P000909,STU0153,S01,60000,0,60000,Unpaid,,Mobile Banking,High Risk
P000910,STU0153,S04,45000,33750,11250,Partial,2024-01-31,Bank,Moderate Risk
P000911,STU0153,S08,68000,0,68000,Unpaid,,Mobile Banking,High Risk
P000912,STU0154,S08,52000,26000,26000,Partial,2025-05-06,Cash,High Risk
P000913,STU0154,S06,45000,22500,22500,Partial,2024-10-29,Mobile Banking,High Risk
P000914,STU0154,S07,68000,68000,0,Paid,2025-01-01,Cash,No Risk
P000915,STU0154,S10,60000,60000,0,Paid,2026-02-18,Card,No Risk
P000916,STU0155,S08,60000,45000,15000,Partial,2025-06-02,Mobile Banking,Moderate Risk
P000917,STU0155,S06,68000,0,68000,Unpaid,,Bank,High Risk
P000918,STU0155,S07,52000,0,52000,Unpaid,,Mobile Banking,High Risk
P000919,STU0155,S02,68000,34000,34000,Partial,2023-05-19,Cash,High Risk
P000920,STU0155,S09,75000,75000,0,Paid,2025-10-06,Mobile Banking,No Risk
P000921,STU0155,S01,45000,33750,11250,Partial,2023-02-06,Bank,Moderate Risk
P000922,STU0156,S09,52000,26000,26000,Partial,2025-10-01,Bank,High Risk
P000923,STU0156,S10,68000,0,68000,Unpaid,,Mobile Banking,High Risk
P000924,STU0156,S08,68000,68000,0,Paid,2025-05-17,Mobile Banking,No Risk
P000925,STU0156,S07,60000,60000,0,Paid,2025-01-13,Cash,No Risk
P000926,STU0157,S04,68000,0,68000,Unpaid,,Cash,High Risk
P000927,STU0157,S06,75000,75000,0,Paid,2024-09-30,Cash,No Risk
P000928,STU0157,S10,75000,75000,0,Paid,2026-02-05,Cash,No Risk
P000929,STU0157,S11,60000,60000,0,Paid,2026-05-13,Mobile Banking,No Risk
P000930,STU0157,S07,75000,37500,37500,Partial,2025-01-02,Bank,High Risk
P000931,STU0157,S05,75000,37500,37500,Partial,2024-05-26,Mobile Banking,High Risk
P000932,STU0157,S08,60000,60000,0,Paid,2025-06-10,Mobile Banking,No Risk
P000933,STU0157,S01,68000,68000,0,Paid,2023-01-11,Card,No Risk
P000934,STU0158,S10,68000,51000,17000,Partial,2026-03-02,Cash,Moderate Risk
P000935,STU0158,S08,75000,37500,37500,Partial,2025-06-03,Bank,High Risk
P000936,STU0158,S03,60000,45000,15000,Partial,2023-09-15,Card,Moderate Risk
P000937,STU0158,S04,68000,68000,0,Paid,2024-01-22,Mobile Banking,No Risk
P000938,STU0158,S01,52000,52000,0,Paid,2023-01-19,Cash,No Risk
P000939,STU0158,S11,45000,0,45000,Unpaid,,Cash,High Risk
P000940,STU0158,S09,60000,45000,15000,Partial,2025-10-23,Bank,Moderate Risk
P000941,STU0158,S05,52000,52000,0,Paid,2024-06-17,Cash,No Risk
P000942,STU0159,S04,68000,68000,0,Paid,2024-01-26,Cash,No Risk
P000943,STU0159,S02,68000,34000,34000,Partial,2023-06-17,Cash,High Risk
P000944,STU0159,S06,45000,22500,22500,Partial,2024-10-11,Mobile Banking,High Risk
P000945,STU0159,S03,75000,37500,37500,Partial,2023-09-13,Mobile Banking,High Risk
P000946,STU0160,S07,75000,37500,37500,Partial,2025-02-16,Mobile Banking,High Risk
P000947,STU0160,S09,60000,45000,15000,Partial,2025-09-17,Mobile Banking,Moderate Risk
P000948,STU0160,S03,75000,37500,37500,Partial,2023-10-24,Card,High Risk
P000949,STU0160,S10,68000,34000,34000,Partial,2026-01-29,Mobile Banking,High Risk
P000950,STU0160,S06,75000,37500,37500,Partial,2024-09-10,Mobile Banking,High Risk
P000951,STU0160,S08,45000,22500,22500,Partial,2025-06-11,Mobile Banking,High Risk
P000952,STU0160,S04,60000,45000,15000,Partial,2024-01-11,Mobile Banking,Moderate Risk
P000953,STU0161,S09,75000,75000,0,Paid,2025-10-26,Bank,No Risk
P000954,STU0161,S11,45000,45000,0,Paid,2026-06-12,Card,No Risk
P000955,STU0161,S05,52000,26000,26000,Partial,2024-06-22,Mobile Banking,High Risk
P000956,STU0161,S04,52000,0,52000,Unpaid,,Mobile Banking,High Risk
P000957,STU0161,S01,68000,68000,0,Paid,2023-01-01,Bank,No Risk
P000958,STU0161,S08,75000,56250,18750,Partial,2025-06-30,Mobile Banking,Moderate Risk
P000959,STU0161,S10,75000,0,75000,Unpaid,,Card,High Risk
P000960,STU0162,S11,68000,34000,34000,Partial,2026-06-24,Bank,High Risk
P000961,STU0162,S10,75000,75000,0,Paid,2026-02-13,Cash,No Risk
P000962,STU0162,S06,68000,34000,34000,Partial,2024-10-30,Mobile Banking,High Risk
P000963,STU0162,S05,75000,75000,0,Paid,2024-05-10,Bank,No Risk
P000964,STU0163,S09,68000,34000,34000,Partial,2025-10-26,Cash,High Risk
P000965,STU0163,S07,68000,0,68000,Unpaid,,Bank,High Risk
P000966,STU0163,S08,60000,0,60000,Unpaid,,Bank,High Risk
P000967,STU0163,S05,60000,0,60000,Unpaid,,Mobile Banking,High Risk
P000968,STU0163,S01,45000,22500,22500,Partial,2023-02-09,Card,High Risk
P000969,STU0163,S10,45000,33750,11250,Partial,2026-01-04,Mobile Banking,Moderate Risk
P000970,STU0164,S06,75000,37500,37500,Partial,2024-09-28,Card,High Risk
P000971,STU0164,S08,60000,30000,30000,Partial,2025-06-08,Card,High Risk
P000972,STU0164,S05,75000,75000,0,Paid,2024-05-25,Card,No Risk
P000973,STU0164,S01,60000,0,60000,Unpaid,,Cash,High Risk
P000974,STU0164,S07,52000,39000,13000,Partial,2025-01-20,Card,Moderate Risk
P000975,STU0164,S09,45000,22500,22500,Partial,2025-09-22,Card,High Risk
P000976,STU0164,S02,75000,0,75000,Unpaid,,Mobile Banking,High Risk
P000977,STU0164,S10,75000,0,75000,Unpaid,,Card,High Risk
P000978,STU0165,S04,45000,45000,0,Paid,2024-01-24,Cash,No Risk
P000979,STU0165,S09,75000,56250,18750,Partial,2025-10-31,Bank,Moderate Risk
P000980,STU0165,S08,75000,0,75000,Unpaid,,Card,High Risk
P000981,STU0165,S07,60000,45000,15000,Partial,2025-01-17,Card,Moderate Risk
P000982,STU0165,S01,45000,45000,0,Paid,2023-01-19,Bank,No Risk
P000983,STU0165,S03,45000,45000,0,Paid,2023-10-13,Cash,No Risk
P000984,STU0166,S07,60000,60000,0,Paid,2025-02-14,Card,No Risk
P000985,STU0166,S04,45000,22500,22500,Partial,2024-02-23,Cash,High Risk
P000986,STU0166,S10,60000,60000,0,Paid,2026-01-29,Card,No Risk
P000987,STU0166,S09,52000,52000,0,Paid,2025-09-12,Mobile Banking,No Risk
P000988,STU0166,S01,68000,51000,17000,Partial,2023-01-31,Mobile Banking,Moderate Risk
P000989,STU0166,S06,75000,56250,18750,Partial,2024-09-05,Card,Moderate Risk
P000990,STU0166,S05,45000,45000,0,Paid,2024-06-17,Bank,No Risk
P000991,STU0166,S02,60000,60000,0,Paid,2023-05-24,Card,No Risk
P000992,STU0167,S08,52000,26000,26000,Partial,2025-05-15,Mobile Banking,High Risk
P000993,STU0167,S01,52000,52000,0,Paid,2023-01-06,Mobile Banking,No Risk
P000994,STU0167,S02,52000,39000,13000,Partial,2023-06-29,Mobile Banking,Moderate Risk
P000995,STU0167,S05,75000,56250,18750,Partial,2024-05-17,Cash,Moderate Risk
P000996,STU0167,S04,75000,75000,0,Paid,2024-01-15,Card,No Risk
P000997,STU0167,S03,52000,26000,26000,Partial,2023-09-19,Cash,High Risk
P000998,STU0167,S10,75000,75000,0,Paid,2026-02-10,Mobile Banking,No Risk
P000999,STU0168,S03,52000,39000,13000,Partial,2023-10-11,Card,Moderate Risk
P001000,STU0168,S08,45000,0,45000,Unpaid,,Cash,High Risk
P001001,STU0168,S07,45000,0,45000,Unpaid,,Mobile Banking,High Risk
P001002,STU0168,S02,45000,0,45000,Unpaid,,Cash,High Risk
P001003,STU0168,S10,68000,68000,0,Paid,2026-01-01,Bank,No Risk
P001004,STU0168,S01,45000,22500,22500,Partial,2023-03-01,Card,High Risk
P001005,STU0168,S09,45000,33750,11250,Partial,2025-09-04,Cash,Moderate Risk
P001006,STU0168,S05,68000,0,68000,Unpaid,,Mobile Banking,High Risk
P001007,STU0169,S03,45000,22500,22500,Partial,2023-10-26,Bank,High Risk
P001008,STU0169,S05,52000,39000,13000,Partial,2024-05-31,Cash,Moderate Risk
P001009,STU0169,S10,45000,45000,0,Paid,2026-01-25,Cash,No Risk
P001010,STU0169,S08,60000,60000,0,Paid,2025-05-27,Bank,No Risk
P001011,STU0170,S03,60000,60000,0,Paid,2023-10-21,Mobile Banking,No Risk
P001012,STU0170,S04,45000,0,45000,Unpaid,,Mobile Banking,High Risk
P001013,STU0170,S08,68000,68000,0,Paid,2025-05-28,Bank,No Risk
P001014,STU0170,S09,75000,0,75000,Unpaid,,Bank,High Risk
P001015,STU0170,S05,75000,56250,18750,Partial,2024-05-10,Mobile Banking,Moderate Risk
P001016,STU0171,S08,52000,52000,0,Paid,2025-05-13,Mobile Banking,No Risk
P001017,STU0171,S01,52000,26000,26000,Partial,2023-02-28,Card,High Risk
P001018,STU0171,S06,68000,51000,17000,Partial,2024-10-30,Mobile Banking,Moderate Risk
P001019,STU0171,S09,60000,30000,30000,Partial,2025-09-28,Mobile Banking,High Risk
P001020,STU0171,S03,52000,26000,26000,Partial,2023-10-24,Mobile Banking,High Risk
P001021,STU0171,S02,52000,39000,13000,Partial,2023-06-05,Bank,Moderate Risk
P001022,STU0171,S10,52000,52000,0,Paid,2026-02-27,Cash,No Risk
P001023,STU0171,S04,52000,26000,26000,Partial,2024-01-24,Mobile Banking,High Risk
P001024,STU0172,S03,52000,39000,13000,Partial,2023-09-15,Cash,Moderate Risk
P001025,STU0172,S11,75000,75000,0,Paid,2026-06-16,Bank,No Risk
P001026,STU0172,S02,60000,0,60000,Unpaid,,Cash,High Risk
P001027,STU0172,S04,52000,52000,0,Paid,2024-01-02,Cash,No Risk
P001028,STU0173,S09,68000,68000,0,Paid,2025-10-22,Card,No Risk
P001029,STU0173,S05,68000,68000,0,Paid,2024-05-28,Bank,No Risk
P001030,STU0173,S11,60000,60000,0,Paid,2026-05-18,Cash,No Risk
P001031,STU0173,S04,45000,45000,0,Paid,2024-01-10,Bank,No Risk
P001032,STU0173,S07,45000,22500,22500,Partial,2025-02-11,Card,High Risk
P001033,STU0173,S10,52000,26000,26000,Partial,2026-01-09,Cash,High Risk
P001034,STU0173,S03,60000,30000,30000,Partial,2023-10-24,Mobile Banking,High Risk
P001035,STU0173,S08,45000,33750,11250,Partial,2025-06-12,Cash,Moderate Risk
P001036,STU0174,S08,68000,34000,34000,Partial,2025-06-19,Cash,High Risk
P001037,STU0174,S10,52000,0,52000,Unpaid,,Mobile Banking,High Risk
P001038,STU0174,S09,60000,0,60000,Unpaid,,Bank,High Risk
P001039,STU0174,S04,45000,33750,11250,Partial,2024-01-05,Bank,Moderate Risk
P001040,STU0174,S06,60000,60000,0,Paid,2024-10-30,Bank,No Risk
P001041,STU0174,S02,52000,39000,13000,Partial,2023-05-06,Bank,Moderate Risk
P001042,STU0174,S05,68000,34000,34000,Partial,2024-05-29,Cash,High Risk
P001043,STU0175,S06,45000,22500,22500,Partial,2024-09-08,Bank,High Risk
P001044,STU0175,S09,45000,0,45000,Unpaid,,Bank,High Risk
P001045,STU0175,S08,45000,22500,22500,Partial,2025-05-20,Cash,High Risk
P001046,STU0175,S01,45000,45000,0,Paid,2023-01-26,Card,No Risk
P001047,STU0176,S07,68000,0,68000,Unpaid,,Cash,High Risk
P001048,STU0176,S04,60000,30000,30000,Partial,2024-01-05,Bank,High Risk
P001049,STU0176,S01,60000,60000,0,Paid,2023-02-17,Bank,No Risk
P001050,STU0176,S08,52000,0,52000,Unpaid,,Cash,High Risk
P001051,STU0176,S10,68000,34000,34000,Partial,2026-02-25,Bank,High Risk
P001052,STU0176,S02,45000,33750,11250,Partial,2023-06-28,Card,Moderate Risk
P001053,STU0176,S06,52000,39000,13000,Partial,2024-09-11,Bank,Moderate Risk
P001054,STU0177,S09,45000,45000,0,Paid,2025-10-31,Bank,No Risk
P001055,STU0177,S03,75000,75000,0,Paid,2023-10-27,Mobile Banking,No Risk
P001056,STU0177,S04,45000,45000,0,Paid,2024-01-25,Mobile Banking,No Risk
P001057,STU0177,S05,68000,34000,34000,Partial,2024-05-13,Cash,High Risk
P001058,STU0177,S07,60000,60000,0,Paid,2025-01-19,Card,No Risk
P001059,STU0177,S11,52000,0,52000,Unpaid,,Bank,High Risk
P001060,STU0178,S09,60000,45000,15000,Partial,2025-10-29,Card,Moderate Risk
P001061,STU0178,S08,60000,60000,0,Paid,2025-05-25,Card,No Risk
P001062,STU0178,S01,45000,0,45000,Unpaid,,Mobile Banking,High Risk
P001063,STU0178,S10,45000,0,45000,Unpaid,,Cash,High Risk
P001064,STU0178,S05,68000,68000,0,Paid,2024-06-05,Bank,No Risk
P001065,STU0179,S08,75000,75000,0,Paid,2025-06-13,Mobile Banking,No Risk
P001066,STU0179,S11,52000,0,52000,Unpaid,,Card,High Risk
P001067,STU0179,S10,45000,33750,11250,Partial,2026-03-02,Bank,Moderate Risk
P001068,STU0179,S01,68000,34000,34000,Partial,2023-01-21,Mobile Banking,High Risk
P001069,STU0179,S06,75000,37500,37500,Partial,2024-09-02,Bank,High Risk
P001070,STU0180,S03,68000,51000,17000,Partial,2023-10-15,Mobile Banking,Moderate Risk
P001071,STU0180,S09,60000,30000,30000,Partial,2025-09-10,Bank,High Risk
P001072,STU0180,S05,68000,68000,0,Paid,2024-05-31,Cash,No Risk
P001073,STU0180,S06,45000,0,45000,Unpaid,,Mobile Banking,High Risk
P001074,STU0181,S03,75000,56250,18750,Partial,2023-10-04,Cash,Moderate Risk
P001075,STU0181,S08,68000,51000,17000,Partial,2025-06-20,Mobile Banking,Moderate Risk
P001076,STU0181,S11,45000,45000,0,Paid,2026-06-19,Mobile Banking,No Risk
P001077,STU0181,S02,75000,56250,18750,Partial,2023-06-29,Card,Moderate Risk
P001078,STU0181,S07,75000,0,75000,Unpaid,,Mobile Banking,High Risk
P001079,STU0181,S01,52000,26000,26000,Partial,2023-01-15,Mobile Banking,High Risk
P001080,STU0182,S02,68000,51000,17000,Partial,2023-06-22,Mobile Banking,Moderate Risk
P001081,STU0182,S09,45000,45000,0,Paid,2025-09-16,Bank,No Risk
P001082,STU0182,S01,45000,45000,0,Paid,2023-01-21,Mobile Banking,No Risk
P001083,STU0182,S10,68000,51000,17000,Partial,2026-01-28,Mobile Banking,Moderate Risk
P001084,STU0182,S03,52000,52000,0,Paid,2023-10-03,Card,No Risk
P001085,STU0182,S06,52000,52000,0,Paid,2024-10-22,Bank,No Risk
P001086,STU0183,S08,60000,60000,0,Paid,2025-06-19,Mobile Banking,No Risk
P001087,STU0183,S02,68000,68000,0,Paid,2023-06-30,Card,No Risk
P001088,STU0183,S04,68000,68000,0,Paid,2024-01-25,Bank,No Risk
P001089,STU0183,S01,60000,60000,0,Paid,2023-01-18,Card,No Risk
P001090,STU0183,S05,52000,52000,0,Paid,2024-05-09,Mobile Banking,No Risk
P001091,STU0183,S09,68000,34000,34000,Partial,2025-10-22,Bank,High Risk
P001092,STU0183,S11,68000,68000,0,Paid,2026-05-16,Cash,No Risk
P001093,STU0184,S03,52000,52000,0,Paid,2023-09-06,Card,No Risk
P001094,STU0184,S05,75000,75000,0,Paid,2024-05-29,Cash,No Risk
P001095,STU0184,S08,68000,68000,0,Paid,2025-06-17,Card,No Risk
P001096,STU0184,S09,68000,68000,0,Paid,2025-10-18,Mobile Banking,No Risk
P001097,STU0185,S09,68000,34000,34000,Partial,2025-09-14,Cash,High Risk
P001098,STU0185,S05,60000,60000,0,Paid,2024-05-08,Cash,No Risk
P001099,STU0185,S04,52000,52000,0,Paid,2024-02-19,Card,No Risk
P001100,STU0185,S11,68000,68000,0,Paid,2026-06-10,Card,No Risk
P001101,STU0185,S02,75000,37500,37500,Partial,2023-06-28,Cash,High Risk
P001102,STU0185,S10,68000,0,68000,Unpaid,,Card,High Risk
P001103,STU0185,S08,60000,60000,0,Paid,2025-06-04,Bank,No Risk
P001104,STU0186,S02,68000,0,68000,Unpaid,,Cash,High Risk
P001105,STU0186,S11,75000,37500,37500,Partial,2026-06-06,Mobile Banking,High Risk
P001106,STU0186,S08,52000,52000,0,Paid,2025-06-14,Bank,No Risk
P001107,STU0186,S05,60000,0,60000,Unpaid,,Cash,High Risk
P001108,STU0186,S01,45000,45000,0,Paid,2023-02-14,Mobile Banking,No Risk
P001109,STU0187,S01,60000,60000,0,Paid,2023-02-12,Card,No Risk
P001110,STU0187,S05,60000,30000,30000,Partial,2024-05-30,Bank,High Risk
P001111,STU0187,S02,52000,26000,26000,Partial,2023-05-04,Mobile Banking,High Risk
P001112,STU0187,S08,52000,39000,13000,Partial,2025-05-29,Card,Moderate Risk
P001113,STU0187,S04,68000,51000,17000,Partial,2024-01-04,Bank,Moderate Risk
P001114,STU0187,S06,45000,45000,0,Paid,2024-09-06,Mobile Banking,No Risk
P001115,STU0188,S03,45000,45000,0,Paid,2023-09-24,Card,No Risk
P001116,STU0188,S05,68000,68000,0,Paid,2024-05-24,Cash,No Risk
P001117,STU0188,S04,75000,56250,18750,Partial,2024-01-20,Bank,Moderate Risk
P001118,STU0188,S02,60000,0,60000,Unpaid,,Bank,High Risk
P001119,STU0188,S09,45000,22500,22500,Partial,2025-09-20,Mobile Banking,High Risk
P001120,STU0189,S05,45000,33750,11250,Partial,2024-06-26,Bank,Moderate Risk
P001121,STU0189,S11,60000,60000,0,Paid,2026-05-31,Card,No Risk
P001122,STU0189,S08,68000,0,68000,Unpaid,,Mobile Banking,High Risk
P001123,STU0189,S09,60000,0,60000,Unpaid,,Cash,High Risk
P001124,STU0190,S03,68000,68000,0,Paid,2023-09-07,Bank,No Risk
P001125,STU0190,S06,68000,34000,34000,Partial,2024-10-18,Card,High Risk
P001126,STU0190,S10,68000,68000,0,Paid,2026-01-10,Card,No Risk
P001127,STU0190,S11,75000,0,75000,Unpaid,,Mobile Banking,High Risk
P001128,STU0191,S07,75000,37500,37500,Partial,2025-02-05,Mobile Banking,High Risk
P001129,STU0191,S06,68000,68000,0,Paid,2024-10-24,Cash,No Risk
P001130,STU0191,S01,60000,0,60000,Unpaid,,Card,High Risk
P001131,STU0191,S08,75000,37500,37500,Partial,2025-05-13,Bank,High Risk
P001132,STU0191,S09,45000,0,45000,Unpaid,,Mobile Banking,High Risk
P001133,STU0191,S05,60000,60000,0,Paid,2024-05-18,Mobile Banking,No Risk
P001134,STU0192,S01,45000,45000,0,Paid,2023-02-23,Cash,No Risk
