AttendanceID,EnrollmentID,AttendanceDate,AttendanceStatus,ClassType,ClassDuration
A0003137,E003371,2026-02-04,Present,Tutorial,3.0
A0003138,E003371,2026-01-04,Absent,Tutorial,2.0
A0003139,E003371,2026-02-25,Present,Lecture,2.0
A0003140,E003371,2026-01-02,Absent,Lecture,2.0
A0003141,E003371,2026-04-05,Absent,Lecture,1.0
A0003142,E003371,2026-04-06,Absent,Tutorial,1.0
A0003143,E000435,2025-10-29,Present,Lecture,2.0
A0003144,E000435,2025-11-19,Present,Lab,2.0
A0003145,E000435,2025-10-16,Absent,Tutorial,1.0
A0003146,E000435,2025-11-06,Absent,Lecture,1.0
A0003147,E000435,2025-09-07,Present,Lab,1.5
A0003148,E000441,2026-07-12,Present,Lab,1.5
A0003149,E000441,2026-07-26,Absent,Lab,3.0
A0003150,E000441,2026-06-03,Present,Lab,2.0
A0003151,E000441,2026-06-26,Present,Tutorial,2.0
A0003152,E000441,2026-06-30,Late,Lab,2.0
A0003153,E000441,2026-05-17,Present,Tutorial,3.0
A0003154,E000260,2025-07-16,Present,Lab,1.5
A0003155,E000260,2025-05-20,Present,Lab,3.0
A0003156,E000260,2025-07-19,Late,Tutorial,3.0
A0003157,E000260,2025-07-25,Present,Tutorial,1.0
A0003158,E000260,2025-07-07,Present,Lecture,1.0
A0003159,E000260,2025-05-24,Present,Lecture,1.5
A0003160,E005723,2023-11-16,Present,Lab,1.5
A0003161,E005723,2023-11-15,Present,Lecture,2.0
A0003162,E005723,2023-10-30,Present,Lecture,3.0
A0003163,E005723,2023-09-23,Present,Lecture,2.0
A0003164,E005723,2023-09-15,Present,Tutorial,2.0
A0003165,E005723,2023-09-16,Present,Lecture,3.0
A0003166,E009424,2024-09-05,Absent,Tutorial,2.0
A0003167,E009424,2024-10-31,Present,Tutorial,1.0
A0003168,E009424,2024-10-17,Present,Lab,3.0
A0003169,E009424,2024-12-05,Present,Tutorial,2.0
A0003170,E009424,2024-09-08,Present,Lab,1.0
A0003171,E009424,2024-10-16,Present,Lecture,3.0
A0003172,E009424,2024-09-02,Present,Tutorial,2.0
A0003173,E004678,2026-03-04,Present,Lab,1.5
A0003174,E004678,2026-03-21,Present,Lab,2.0
A0003175,E004678,2026-02-08,Present,Lab,1.0
A0003176,E004678,2026-04-11,Excused,Lecture,1.0
A0003177,E004678,2026-02-09,Present,Lecture,2.0
A0003178,E001064,2023-01-07,Present,Lab,2.0
A0003179,E001064,2023-02-24,Present,Lab,1.5
A0003180,E001064,2023-04-06,Present,Lab,2.0
A0003181,E001064,2023-03-05,Present,Tutorial,1.5
A0003182,E001064,2023-03-06,Present,Tutorial,3.0
A0003183,E001064,2023-03-04,Present,Tutorial,3.0
A0003184,E001064,2023-03-11,Present,Lab,1.5
A0003185,E003007,2026-07-19,Present,Tutorial,1.5
A0003186,E003007,2026-06-01,Absent,Lecture,2.0
A0003187,E003007,2026-08-01,Present,Lecture,1.5
A0003188,E003007,2026-05-05,Present,Lecture,1.5
A0003189,E003007,2026-05-10,Present,Lab,3.0
A0003190,E003007,2026-07-22,Present,Lab,2.0
A0003191,E001676,2026-05-22,Absent,Lab,1.0
A0003192,E001676,2026-05-15,Present,Lab,3.0
A0003193,E001676,2026-05-29,Present,Tutorial,1.5
A0003194,E001676,2026-05-01,Absent,Lecture,1.0
A0003195,E001676,2026-08-03,Present,Lecture,3.0
A0003196,E001676,2026-05-15,Present,Lab,2.0
A0003197,E001676,2026-06-13,Present,Tutorial,2.0
A0003198,E007843,2023-01-23,Present,Tutorial,2.0
A0003199,E007843,2023-03-10,Absent,Lecture,1.5
A0003200,E007843,2023-02-18,Present,Lecture,3.0
A0003201,E007843,2023-01-10,Present,Tutorial,1.5
A0003202,E007843,2023-03-14,Excused,Lecture,1.0
A0003203,E007843,2023-04-10,Present,Lab,3.0
A0003204,E009702,2026-07-03,Present,Lab,1.5
A0003205,E009702,2026-05-29,Present,Lecture,1.5
A0003206,E009702,2026-06-29,Present,Lab,1.5
A0003207,E009702,2026-07-13,Present,Tutorial,1.5
A0003208,E009702,2026-07-01,Present,Tutorial,2.0
A0003209,E009702,2026-07-23,Present,Lab,1.5
A0003210,E002947,2024-01-01,Late,Lab,1.5
A0003211,E002947,2024-01-02,Present,Tutorial,1.0
A0003212,E002947,2024-01-30,Present,Tutorial,2.0
A0003213,E002947,2024-01-15,Present,Tutorial,1.0
A0003214,E002947,2024-02-09,Present,Lecture,1.0
A0003215,E002947,2024-02-27,Present,Tutorial,1.5
A0003216,E010653,2025-07-28,Present,Lab,2.0
A0003217,E010653,2025-05-04,Present,Tutorial,3.0
A0003218,E010653,2025-08-07,Present,Tutorial,3.0
A0003219,E010653,2025-07-07,Present,Lecture,3.0
A0003220,E010653,2025-07-30,Present,Lecture,1.0
A0003221,E010653,2025-06-13,Present,Lab,1.0
A0003222,E008270,2026-07-25,Present,Lab,1.0
A0003223,E008270,2026-05-16,Present,Lab,2.0
A0003224,E008270,2026-06-23,Present,Lab,2.0
A0003225,E008270,2026-06-18,Present,Lab,1.0
A0003226,E008270,2026-06-08,Present,Tutorial,1.5
A0003227,E008270,2026-07-19,Present,Lab,1.0
A0003228,E008270,2026-05-27,Present,Tutorial,1.0
A0003229,E009714,2025-06-14,Present,Lab,1.5
A0003230,E009714,2025-07-01,Present,Tutorial,1.5
A0003231,E009714,2025-06-24,Present,Tutorial,1.0
A0003232,E009714,2025-07-20,Present,Tutorial,2.0
A0003233,E009714,2025-05-27,Present,Lecture,3.0
A0003234,E009714,2025-06-22,Present,Lab,1.5
A0003235,E004024,2023-07-14,Excused,Lecture,3.0
A0003236,E004024,2023-05-01,Present,Lab,2.0
A0003237,E004024,2023-06-08,Excused,Lab,1.0
A0003238,E004024,2023-07-20,Present,Lecture,3.0
A0003239,E004024,2023-07-23,Present,Lecture,1.5
A0003240,E004024,2023-05-09,Present,Lecture,1.0
A0003241,E004024,2023-05-11,Present,Tutorial,2.0
A0003242,E004024,2023-06-14,Present,Lecture,1.5
A0003243,E008883,2023-01-16,Present,Lecture,1.0
A0003244,E008883,2023-01-27,Present,Lab,1.0
A0003245,E008883,2023-04-09,Absent,Lab,1.5
A0003246,E008883,2023-01-24,Absent,Lab,3.0
A0003247,E008883,2023-01-01,Present,Lecture,1.0
A0003248,E008883,2023-01-25,Present,Tutorial,1.5
A0003249,E008883,2023-02-02,Present,Tutorial,1.0
A0003250,E009401,2024-03-13,Absent,Tutorial,3.0
A0003251,E009401,2024-02-22,Present,Tutorial,3.0
A0003252,E009401,2024-03-28,Present,Lecture,1.0
A0003253,E009401,2024-01-26,Absent,Tutorial,1.5
A0003254,E009401,2024-03-23,Present,Lab,3.0
A0003255,E009401,2024-01-10,Excused,Tutorial,2.0
A0003256,E011034,2023-06-28,Present,Tutorial,3.0
A0003257,E011034,2023-06-23,Present,Lab,1.0
A0003258,E011034,2023-07-26,Present,Lab,3.0
A0003259,E011034,2023-05-09,Present,Tutorial,2.0
A0003260,E011034,2023-08-04,Present,Tutorial,1.5
A0003261,E011034,2023-06-01,Late,Tutorial,2.0
A0003262,E011034,2023-06-21,Present,Lab,2.0
A0003263,E000932,2023-06-04,Present,Lab,3.0
A0003264,E000932,2023-07-30,Present,Lab,1.0
A0003265,E000932,2023-08-06,Excused,Lecture,3.0
A0003266,E000932,2023-05-15,Present,Lecture,1.0
A0003267,E000932,2023-05-18,Present,Lecture,1.5
A0003268,E000932,2023-05-01,Present,Lecture,1.0
A0003269,E004225,2024-04-04,Late,Tutorial,1.5
A0003270,E004225,2024-01-26,Present,Lecture,3.0
A0003271,E004225,2024-02-12,Absent,Tutorial,3.0
A0003272,E004225,2024-02-12,Present,Lecture,2.0
A0003273,E004225,2024-04-08,Absent,Lecture,1.5
A0003274,E003058,2025-02-16,Present,Lecture,3.0
A0003275,E003058,2025-01-29,Excused,Tutorial,3.0
A0003276,E003058,2025-02-20,Present,Tutorial,3.0
A0003277,E003058,2025-01-05,Present,Lecture,2.0
A0003278,E003058,2025-01-12,Present,Tutorial,2.0
A0003279,E001204,2024-11-04,Present,Lecture,3.0
A0003280,E001204,2024-11-18,Present,Lecture,2.0
A0003281,E001204,2024-10-20,Present,Lab,2.0
A0003282,E001204,2024-09-02,Present,Tutorial,1.5
A0003283,E001204,2024-09-03,Present,Lecture,1.5
A0003284,E001204,2024-09-15,Present,Tutorial,2.0
A0003285,E001204,2024-11-21,Present,Lecture,2.0
A0003286,E009253,2023-11-01,Present,Lecture,2.0
A0003287,E009253,2023-09-04,Present,Lecture,3.0
A0003288,E009253,2023-11-16,Absent,Lecture,1.5
A0003289,E009253,2023-11-16,Present,Lecture,3.0
A0003290,E009253,2023-09-25,Present,Lab,1.0
A0003291,E009253,2023-11-20,Present,Lab,1.0
A0003292,E009253,2023-09-05,Present,Lecture,1.0
A0003293,E009253,2023-11-18,Present,Tutorial,1.0
A0003294,E000323,2023-10-13,Present,Tutorial,1.5
A0003295,E000323,2023-11-07,Present,Lab,1.0
A0003296,E000323,2023-09-06,Present,Lecture,3.0
A0003297,E000323,2023-10-18,Present,Lecture,3.0
A0003298,E000323,2023-10-22,Present,Lecture,1.5
A0003299,E000323,2023-09-24,Present,Lab,1.0
A0003300,E000323,2023-09-03,Present,Lab,2.0
A0003301,E005962,2023-01-28,Present,Tutorial,3.0
A0003302,E005962,2023-02-17,Present,Lab,3.0
A0003303,E005962,2023-01-10,Late,Tutorial,2.0
A0003304,E005962,2023-03-06,Absent,Tutorial,1.5
A0003305,E005962,2023-03-09,Present,Lecture,2.0
A0003306,E005962,2023-04-02,Present,Lecture,3.0
A0003307,E005962,2023-02-16,Present,Lecture,1.0
A0003308,E001159,2025-03-04,Present,Lab,1.0
A0003309,E001159,2025-01-21,Present,Lab,3.0
A0003310,E001159,2025-02-28,Present,Lab,2.0
A0003311,E001159,2025-03-29,Present,Tutorial,1.0
A0003312,E001159,2025-03-08,Present,Lab,2.0
A0003313,E001159,2025-01-29,Present,Tutorial,2.0
A0003314,E001159,2025-03-11,Absent,Lecture,3.0
A0003315,E001159,2025-01-01,Present,Lecture,1.5
A0003316,E006327,2024-07-02,Present,Tutorial,3.0
A0003317,E006327,2024-05-27,Present,Lecture,3.0
A0003318,E006327,2024-06-15,Present,Lab,2.0
A0003319,E006327,2024-07-07,Present,Lecture,1.0
A0003320,E006327,2024-06-14,Present,Tutorial,2.0
A0003321,E006988,2024-06-09,Present,Tutorial,3.0
A0003322,E006988,2024-05-07,Present,Lab,3.0
A0003323,E006988,2024-05-11,Present,Lab,1.0
A0003324,E006988,2024-05-02,Present,Tutorial,3.0
A0003325,E006988,2024-07-09,Present,Tutorial,1.0
A0003326,E006988,2024-05-11,Present,Lab,3.0
A0003327,E006988,2024-07-30,Present,Tutorial,2.0
A0003328,E011358,2025-11-22,Present,Lecture,2.0
A0003329,E011358,2025-11-02,Present,Lecture,1.5
A0003330,E011358,2025-12-04,Present,Lab,1.0
A0003331,E011358,2025-10-16,Present,Lecture,3.0
A0003332,E011358,2025-10-26,Present,Lab,2.0
A0003333,E011358,2025-09-20,Present,Tutorial,1.5
A0003334,E004794,2025-07-25,Present,Lab,1.5
A0003335,E004794,2025-05-12,Present,Lab,1.0
A0003336,E004794,2025-07-09,Present,Lecture,3.0
A0003337,E004794,2025-05-24,Present,Tutorial,3.0
A0003338,E004794,2025-05-13,Present,Lab,1.0
A0003339,E005897,2023-04-09,Late,Lab,3.0
A0003340,E005897,2023-04-03,Present,Lecture,2.0
A0003341,E005897,2023-04-02,Present,Lab,3.0
A0003342,E005897,2023-04-05,Present,Lab,3.0
A0003343,E005897,2023-03-31,Present,Lab,1.5
A0003344,E005897,2023-01-02,Excused,Lab,3.0
A0003345,E005897,2023-03-13,Absent,Tutorial,3.0
A0003346,E004509,2025-07-16,Absent,Lecture,1.5
A0003347,E004509,2025-07-29,Present,Lecture,2.0
A0003348,E004509,2025-07-04,Present,Lab,1.5
A0003349,E004509,2025-05-16,Excused,Tutorial,1.5
A0003350,E004509,2025-07-19,Present,Lecture,1.0
A0003351,E006381,2023-10-07,Present,Tutorial,1.5
A0003352,E006381,2023-11-02,Present,Lab,1.0
A0003353,E006381,2023-10-04,Present,Lab,1.0
A0003354,E006381,2023-12-05,Present,Lab,3.0
A0003355,E006381,2023-11-17,Present,Tutorial,1.0
A0003356,E006381,2023-09-26,Present,Tutorial,1.5
A0003357,E004401,2024-02-04,Present,Lecture,1.0
A0003358,E004401,2024-03-11,Present,Lab,1.5
A0003359,E004401,2024-01-19,Present,Lecture,1.5
A0003360,E004401,2024-03-14,Present,Tutorial,1.0
A0003361,E004401,2024-03-27,Late,Tutorial,2.0
A0003362,E004401,2024-03-17,Present,Lecture,1.5
A0003363,E010890,2024-01-01,Present,Lecture,1.0
A0003364,E010890,2024-02-05,Present,Tutorial,1.5
A0003365,E010890,2024-02-18,Present,Lab,1.0
A0003366,E010890,2024-03-21,Present,Tutorial,1.5
A0003367,E010890,2024-03-08,Present,Lab,2.0
A0003368,E010890,2024-02-23,Absent,Lecture,1.5
A0003369,E002346,2023-11-13,Excused,Lab,2.0
A0003370,E002346,2023-10-02,Present,Tutorial,1.5
A0003371,E002346,2023-10-03,Present,Lecture,2.0
A0003372,E002346,2023-12-06,Present,Lecture,3.0
A0003373,E002346,2023-11-10,Present,Tutorial,1.5
A0003374,E002346,2023-09-10,Present,Lecture,2.0
A0003375,E001024,2023-10-01,Present,Lab,2.0
A0003376,E001024,2023-09-10,Present,Tutorial,2.0
A0003377,E001024,2023-10-20,Present,Lab,1.0
A0003378,E001024,2023-10-09,Present,Lab,2.0
A0003379,E001024,2023-11-20,Present,Tutorial,2.0
A0003380,E001024,2023-09-27,Absent,Lab,1.5
A0003381,E001024,2023-11-10,Present,Lab,1.5
A0003382,E001024,2023-09-10,Present,Lecture,1.5
A0003383,E000229,2023-09-08,Present,Tutorial,3.0
A0003384,E000229,2023-10-24,Present,Lecture,2.0
A0003385,E000229,2023-09-30,Present,Lab,1.0
A0003386,E000229,2023-10-07,Present,Tutorial,1.0
A0003387,E000229,2023-09-02,Present,Lab,1.5
A0003388,E009247,2024-01-09,Present,Lecture,1.0
A0003389,E009247,2024-03-15,Present,Tutorial,2.0
A0003390,E009247,2024-03-11,Present,Tutorial,1.0
A0003391,E009247,2024-01-26,Present,Lecture,1.0
A0003392,E009247,2024-01-05,Present,Lab,2.0
A0003393,E009247,2024-03-01,Present,Lecture,1.0
A0003394,E009247,2024-01-14,Present,Lab,1.0
A0003395,E009247,2024-01-11,Late,Lab,1.5
A0003396,E006870,2025-02-01,Present,Tutorial,1.5
A0003397,E006870,2025-01-15,Present,Lab,1.5
A0003398,E006870,2025-01-22,Present,Tutorial,1.0
A0003399,E006870,2025-01-29,Present,Tutorial,2.0
A0003400,E006870,2025-03-13,Present,Lab,2.0
A0003401,E006870,2025-04-06,Present,Tutorial,3.0
A0003402,E006870,2025-04-11,Present,Lab,1.5
A0003403,E006523,2025-07-30,Absent,Lecture,2.0
A0003404,E006523,2025-06-26,Absent,Tutorial,2.0
A0003405,E006523,2025-06-24,Present,Lab,1.0
A0003406,E006523,2025-07-04,Absent,Lecture,2.0
A0003407,E006523,2025-05-12,Present,Lab,2.0
A0003408,E006523,2025-06-29,Present,Tutorial,2.0
A0003409,E006523,2025-07-11,Excused,Lab,3.0
A0003410,E001682,2024-04-02,Present,Lab,2.0
A0003411,E001682,2024-02-11,Present,Lecture,3.0
A0003412,E001682,2024-01-21,Present,Lecture,1.0
A0003413,E001682,2024-01-26,Present,Lab,2.0
A0003414,E001682,2024-03-17,Present,Tutorial,1.5
A0003415,E008248,2023-06-11,Present,Lecture,1.5
A0003416,E008248,2023-06-14,Present,Lecture,1.5
A0003417,E008248,2023-07-01,Present,Lab,1.5
A0003418,E008248,2023-05-31,Present,Lecture,2.0
A0003419,E008248,2023-05-23,Absent,Lab,1.0
A0003420,E010974,2023-04-09,Excused,Lab,3.0
A0003421,E010974,2023-03-09,Present,Tutorial,1.5
A0003422,E010974,2023-02-20,Present,Lecture,1.0
A0003423,E010974,2023-04-09,Present,Lab,1.5
A0003424,E010974,2023-03-05,Present,Lab,2.0
A0003425,E010974,2023-01-27,Present,Tutorial,1.0
A0003426,E010974,2023-01-29,Present,Lab,3.0
A0003427,E010974,2023-03-13,Present,Lecture,2.0
A0003428,E008765,2026-03-29,Absent,Lecture,1.0
A0003429,E008765,2026-03-29,Absent,Lecture,1.5
A0003430,E008765,2026-03-20,Absent,Lecture,2.0
A0003431,E008765,2026-01-27,Absent,Lab,1.5
A0003432,E008765,2026-04-09,Present,Lab,2.0
A0003433,E008765,2026-04-05,Absent,Lab,3.0
A0003434,E011134,2023-10-16,Present,Lecture,2.0
A0003435,E011134,2023-10-02,Present,Lab,3.0
A0003436,E011134,2023-12-10,Present,Lecture,3.0
A0003437,E011134,2023-10-27,Late,Lab,1.0
A0003438,E011134,2023-10-14,Present,Lab,2.0
A0003439,E003325,2023-10-17,Present,Lecture,3.0
A0003440,E003325,2023-12-02,Present,Lab,3.0
A0003441,E003325,2023-09-22,Present,Lab,1.5
A0003442,E003325,2023-10-28,Present,Lab,1.5
A0003443,E003325,2023-10-05,Excused,Lab,3.0
A0003444,E003325,2023-09-12,Present,Lecture,1.0
A0003445,E003325,2023-11-25,Present,Tutorial,3.0
A0003446,E003325,2023-10-26,Present,Lecture,3.0
A0003447,E003690,2024-02-06,Present,Tutorial,1.5
A0003448,E003690,2024-03-02,Present,Lab,2.0
A0003449,E003690,2024-03-13,Absent,Lecture,1.5
A0003450,E003690,2024-04-06,Present,Lecture,1.5
A0003451,E003690,2024-03-02,Present,Lecture,3.0
A0003452,E003690,2024-03-15,Present,Lecture,1.5
A0003453,E003690,2024-03-14,Present,Lecture,2.0
A0003454,E009301,2025-11-12,Present,Tutorial,1.0
A0003455,E009301,2025-09-15,Present,Tutorial,1.5
A0003456,E009301,2025-12-10,Present,Tutorial,3.0
A0003457,E009301,2025-12-01,Present,Lab,2.0
A0003458,E009301,2025-10-11,Present,Lecture,2.0
A0003459,E008107,2026-05-13,Present,Tutorial,2.0
A0003460,E008107,2026-06-19,Present,Tutorial,1.0
A0003461,E008107,2026-06-18,Late,Lecture,2.0
A0003462,E008107,2026-05-14,Present,Tutorial,1.0
A0003463,E008107,2026-07-03,Present,Tutorial,2.0
A0003464,E004709,2023-01-02,Present,Lecture,3.0
A0003465,E004709,2023-02-01,Present,Lecture,3.0
A0003466,E004709,2023-04-11,Present,Tutorial,1.0
A0003467,E004709,2023-02-02,Present,Lab,1.5
A0003468,E004709,2023-03-20,Absent,Lab,1.0
A0003469,E004709,2023-04-02,Present,Lecture,2.0
A0003470,E004709,2023-03-06,Present,Lecture,1.5
A0003471,E004709,2023-04-11,Present,Lab,1.0
A0003472,E002104,2025-02-20,Present,Lab,2.0
A0003473,E002104,2025-03-01,Present,Lab,1.5
A0003474,E002104,2025-04-09,Present,Lab,2.0
A0003475,E002104,2025-03-13,Present,Lecture,3.0
A0003476,E002104,2025-02-26,Present,Tutorial,2.0
A0003477,E002104,2025-01-28,Present,Lab,1.5
A0003478,E002104,2025-01-24,Present,Tutorial,3.0
A0003479,E011572,2024-01-07,Present,Tutorial,2.0
A0003480,E011572,2024-01-26,Absent,Lab,2.0
A0003481,E011572,2024-03-23,Present,Lab,2.0
A0003482,E011572,2024-03-03,Present,Tutorial,3.0
A0003483,E011572,2024-03-12,Present,Tutorial,1.5
A0003484,E011572,2024-01-22,Present,Tutorial,1.5
A0003485,E011572,2024-03-05,Present,Tutorial,2.0
A0003486,E002974,2025-02-27,Present,Lab,2.0
A0003487,E002974,2025-01-15,Absent,Tutorial,1.5
A0003488,E002974,2025-01-31,Present,Lecture,3.0
A0003489,E002974,2025-02-11,Present,Lab,1.5
A0003490,E002974,2025-03-22,Late,Tutorial,1.0
A0003491,E002974,2025-03-28,Present,Lab,2.0
A0003492,E011535,2025-02-05,Present,Lecture,1.5
A0003493,E011535,2025-01-02,Late,Lecture,1.0
A0003494,E011535,2025-01-26,Present,Lab,1.0
A0003495,E011535,2025-02-11,Late,Lecture,3.0
A0003496,E011535,2025-02-14,Present,Lab,1.5
A0003497,E011070,2026-04-06,Late,Tutorial,3.0
A0003498,E011070,2026-02-03,Present,Tutorial,1.5
A0003499,E011070,2026-02-02,Present,Tutorial,1.5
A0003500,E011070,2026-04-03,Present,Tutorial,2.0
A0003501,E011070,2026-01-30,Absent,Lab,1.0
A0003502,E011070,2026-03-17,Present,Lecture,3.0
A0003503,E011070,2026-01-18,Present,Lab,1.5
A0003504,E006578,2026-05-21,Present,Tutorial,1.0
A0003505,E006578,2026-05-09,Present,Lab,1.5
A0003506,E006578,2026-05-04,Present,Tutorial,1.5
A0003507,E006578,2026-05-27,Excused,Tutorial,1.0
A0003508,E006578,2026-07-02,Present,Lab,3.0
A0003509,E006578,2026-06-24,Present,Lecture,3.0
A0003510,E006578,2026-06-02,Present,Tutorial,1.0
A0003511,E006578,2026-07-16,Present,Tutorial,1.5
A0003512,E011352,2024-09-20,Present,Lab,1.5
A0003513,E011352,2024-09-05,Present,Lecture,2.0
A0003514,E011352,2024-11-30,Present,Lecture,1.0
A0003515,E011352,2024-10-16,Present,Lecture,2.0
A0003516,E011352,2024-09-14,Present,Lecture,3.0
A0003517,E011352,2024-09-02,Present,Lecture,1.0
A0003518,E006197,2023-02-02,Present,Lecture,1.0
A0003519,E006197,2023-03-11,Present,Tutorial,3.0
A0003520,E006197,2023-03-19,Present,Lecture,3.0
A0003521,E006197,2023-01-26,Present,Tutorial,3.0
A0003522,E006197,2023-02-16,Present,Lab,1.5
A0003523,E006197,2023-01-10,Present,Tutorial,1.5
A0003524,E006197,2023-03-09,Present,Lecture,2.0
A0003525,E006197,2023-01-25,Present,Lab,1.0
A0003526,E011105,2024-02-15,Present,Tutorial,2.0
A0003527,E011105,2024-02-29,Present,Lab,1.5
A0003528,E011105,2024-03-12,Present,Lab,1.5
A0003529,E011105,2024-01-19,Late,Lecture,3.0
A0003530,E011105,2024-03-12,Present,Lab,1.0
A0003531,E011105,2024-02-22,Present,Lecture,3.0
A0003532,E011105,2024-03-30,Late,Lecture,1.0
A0003533,E011105,2024-01-18,Present,Lecture,2.0
A0003534,E003097,2024-09-29,Late,Lab,3.0
A0003535,E003097,2024-09-19,Present,Lecture,3.0
A0003536,E003097,2024-11-18,Present,Lecture,3.0
A0003537,E003097,2024-10-27,Late,Tutorial,1.5
A0003538,E003097,2024-09-23,Present,Tutorial,2.0
A0003539,E003097,2024-12-08,Present,Lab,1.5
A0003540,E003097,2024-09-17,Present,Lab,1.0
A0003541,E005963,2024-10-13,Present,Lecture,1.5
A0003542,E005963,2024-10-03,Absent,Lecture,1.0
A0003543,E005963,2024-10-23,Present,Lecture,1.0
A0003544,E005963,2024-10-22,Present,Lecture,3.0
A0003545,E005963,2024-09-05,Present,Lecture,3.0
A0003546,E005963,2024-09-07,Present,Lecture,3.0
A0003547,E004766,2025-02-02,Present,Lecture,1.5
A0003548,E004766,2025-02-19,Present,Lab,1.5
A0003549,E004766,2025-04-05,Present,Tutorial,1.5
A0003550,E004766,2025-02-01,Late,Lab,1.0
A0003551,E004766,2025-02-24,Present,Tutorial,1.0
A0003552,E004766,2025-03-25,Present,Tutorial,2.0
A0003553,E004766,2025-03-12,Present,Tutorial,2.0
A0003554,E002897,2024-09-08,Present,Lab,1.0
A0003555,E002897,2024-09-06,Present,Lecture,2.0
A0003556,E002897,2024-10-06,Present,Lecture,1.0
A0003557,E002897,2024-11-06,Present,Lecture,1.0
A0003558,E002897,2024-09-07,Present,Lab,2.0
A0003559,E002897,2024-09-26,Present,Lecture,1.0
A0003560,E002897,2024-09-19,Present,Lab,1.0
A0003561,E002897,2024-09-29,Late,Tutorial,3.0
A0003562,E008210,2024-09-26,Present,Lab,3.0
A0003563,E008210,2024-10-29,Present,Lab,3.0
A0003564,E008210,2024-10-12,Present,Lecture,2.0
A0003565,E008210,2024-10-19,Present,Tutorial,1.5
A0003566,E008210,2024-10-28,Present,Tutorial,1.0
A0003567,E008210,2024-10-12,Absent,Lecture,1.0
A0003568,E008210,2024-11-09,Present,Lab,1.0
A0003569,E004037,2025-02-11,Present,Lecture,2.0
A0003570,E004037,2025-02-04,Present,Lab,3.0
A0003571,E004037,2025-01-26,Present,Lecture,3.0
A0003572,E004037,2025-02-27,Absent,Lab,1.0
A0003573,E004037,2025-02-27,Present,Lab,1.5
A0003574,E004037,2025-02-04,Excused,Lecture,3.0
A0003575,E004037,2025-01-03,Absent,Lecture,1.5
A0003576,E005961,2023-02-20,Present,Tutorial,1.5
A0003577,E005961,2023-02-24,Present,Tutorial,1.5
A0003578,E005961,2023-02-19,Present,Lecture,1.0
A0003579,E005961,2023-02-01,Present,Lecture,2.0
A0003580,E005961,2023-03-21,Present,Lecture,1.0
A0003581,E007961,2025-04-02,Present,Lab,2.0
A0003582,E007961,2025-01-12,Present,Lab,3.0
A0003583,E007961,2025-02-20,Present,Tutorial,3.0
A0003584,E007961,2025-01-07,Present,Lecture,3.0
A0003585,E007961,2025-03-13,Present,Lab,3.0
A0003586,E007961,2025-01-24,Present,Lab,3.0
A0003587,E007961,2025-03-16,Present,Tutorial,3.0
A0003588,E003403,2023-01-10,Present,Lecture,2.0
A0003589,E003403,2023-02-14,Present,Lecture,1.0
A0003590,E003403,2023-03-12,Excused,Lecture,1.5
A0003591,E003403,2023-02-17,Absent,Tutorial,3.0
A0003592,E003403,2023-03-17,Present,Tutorial,1.0
A0003593,E006828,2024-01-02,Present,Tutorial,1.0
A0003594,E006828,2024-01-03,Present,Tutorial,1.0
A0003595,E006828,2024-01-03,Present,Tutorial,3.0
A0003596,E006828,2024-04-09,Present,Lab,2.0
A0003597,E006828,2024-03-04,Present,Lecture,2.0
A0003598,E006828,2024-03-24,Present,Tutorial,1.5
A0003599,E000912,2026-04-10,Present,Lab,3.0
A0003600,E000912,2026-01-08,Present,Tutorial,1.0
A0003601,E000912,2026-03-11,Present,Lecture,3.0
A0003602,E000912,2026-02-25,Late,Lab,2.0
A0003603,E000912,2026-04-06,Present,Tutorial,2.0
A0003604,E000912,2026-01-15,Present,Lecture,1.5
A0003605,E000912,2026-01-28,Present,Lecture,1.5
A0003606,E000912,2026-02-16,Present,Lab,3.0
A0003607,E010564,2024-11-11,Absent,Tutorial,1.5
A0003608,E010564,2024-09-30,Present,Lab,2.0
A0003609,E010564,2024-10-01,Absent,Tutorial,3.0
A0003610,E010564,2024-11-01,Present,Lab,1.0
A0003611,E010564,2024-10-08,Present,Lab,2.0
A0003612,E010564,2024-10-31,Present,Lecture,1.0
A0003613,E010564,2024-10-09,Absent,Tutorial,1.0
A0003614,E010471,2025-02-09,Present,Lab,1.0
A0003615,E010471,2025-03-18,Absent,Tutorial,1.0
A0003616,E010471,2025-03-31,Present,Lecture,3.0
A0003617,E010471,2025-01-21,Present,Lecture,3.0
A0003618,E010471,2025-03-09,Absent,Tutorial,3.0
A0003619,E010471,2025-01-03,Late,Lab,1.0
A0003620,E010471,2025-02-08,Absent,Lab,1.5
A0003621,E006098,2024-08-05,Absent,Tutorial,1.5
A0003622,E006098,2024-05-31,Absent,Lab,1.0
A0003623,E006098,2024-08-05,Present,Lab,3.0
A0003624,E006098,2024-05-22,Present,Tutorial,1.0
A0003625,E006098,2024-07-11,Present,Tutorial,2.0
A0003626,E006098,2024-06-15,Present,Lecture,3.0
A0003627,E008452,2023-06-05,Present,Tutorial,1.0
A0003628,E008452,2023-05-10,Present,Lecture,3.0
A0003629,E008452,2023-06-19,Present,Tutorial,1.5
A0003630,E008452,2023-06-07,Late,Lecture,2.0
A0003631,E008452,2023-06-21,Late,Tutorial,2.0
A0003632,E008452,2023-08-03,Excused,Lecture,1.5
